Code,GLOSS ID,Country,Location,Connection,DCP ID,Last observation,,Delay,Transmit,View
gwda,295,Pakistan,Gwadar,SXXX33,1851B170,0.01,29/06/2016 05:57,69d,15',  [open]  
hade,80,Israel,Hadera,ftp,,0.17,14:36,5',1',  [open]  
hain,,Myanmar,Haing Gyi Kyun,SZBM45,48000,1.48,14:36,5',6',  [open]  
hako,88,Japan,Hakodate,SWJP40,HAKODATE,1.75,14:29,12',10',  [open]  
hana,,Japan,Hanasaki,SWJP40,HANASAKI,0.83,14:29,12',10',  [open]  
hani,,Maldive Islands,Hanimadhoo,SXXX32,26CB10AC,13.72,15/07/2016 05:46,53d,15',  [open]  
harv,,USA,"Oil Platform Harvest, CA",web,,0.64,14:30,11',6',  [open]  
harw,,UK,Harwich,ftp,,3.69,13:45,56',15',  [open]  
hbay,,UK,Herne Bay,web,,2.27,14:39,1',0.1666',  [open]  
helg,,Germany,Helgoland Binnenhafen,web,,6.14,14:33,8',5',  [open]  
herb,,France,L'Herbaudière,ftp,,2.69,14:32,8',5',  [open]  
herb2,,France,L'Herbaudière 2,SZFR01,FR198,2.59,14:28,13',6',  [open]  
heys,,UK,Heysham,ftp,,8.75,13:45,56',15',  [open]  
hie2,,Spain,ElHierro,ftp,,2.16,14:32,9',4',  [open]  
hien,,France,Hienghene (New Caledonia),SZNC42,xxxxxxx,0.78,14:32,9',6',  [open]  
hill,,Australia,Hillarys Harbor,SZAU01,62237,1.09,14:35,6',3',  [open]  
hilo,287,USA,"Hilo,Hawaii",web,,0.64,14:29,12',6',  [open]  
hilo2,287,USA,"Hilo, Hawaii",SXXX03,3351410A,-2.68,14:22,19',6',  [open]  
hink,,UK,Hinkley Point,ftp,,3.16,13:45,56',15',  [open]  
hirt,,Denmark,Hirtshals,ftp,,-0.1,14:30,11',10',  [open]  
hiva,,France,"Hiva Oa (Marquesas, French Polynesia)",SEHI40,9322451A,2.38,14:32,9',15',  [open]  
hmda,326,Japan,Hamada,SWJP40,HAMADA,2.61,14:29,12',10',  [open]  
holy,,UK,Holyhead (tsunami),socket,,4.46,14:40,0',1',  [open]  
holy2,,UK,Holyhead2,ftp,,5.05,13:45,56',15',  [open]  
honn,,Norway,Honningsvåg,web,,0.66,13:30,1h,1h,  [open]  
hono,108,USA,"Honolulu,Oahu",web,,0.4,14:29,12',6',  [open]  
hono2,108,USA,"Honolulu, Oahu",SXWA03,3341B610,,06/01/2016 00:09,245d,6',  [open]  
horn,,Germany,Hörnum,web,,5.98,14:36,5',5',  [open]  
huahi,,France,"Huahine island (Society Islands, French Polynesia)",SEHI40,B1F0371A,0.01,14:16,25',15',  [open]  
huas2,,Chile,Huasco,web,,5.86,14:38,2',5',  [open]  
huas3,,Chile,Huasco,web,,5.87,14:35,5',5',  [open]  
huat,,Mexico,Huatulco,SOMX10,1010358,1.76,14:11,30',15',  [open]  
huel,,Spain,Huelva5,ftp,,2.37,14:32,9',4',  [open]  
iaix,,France,Ile d'Aix,ftp,,3.2,14:32,8',5',  [open]  
ibiz,,Spain,Ibiza2,ftp,,0.48,14:32,9',4',  [open]  
iler,,France,"Ile Royale, Kourou, French Guiana",ftp,,1.74,14:32,8',5',  [open]  
iler2,,France,"Ile Royale, Kourou, French Guiana 2",SZCA01,FR749,1.76,14:29,12',6',  [open]  
ilfa,,UK,Ilfracombe,ftp,,1.74,13:45,56',15',  [open]  
IM01,,Italy,Imperia,ftp,,0.02,14:34,7',5',  [open]  
im02,,Italy,Imperia 2,bgan,IM02,0.02,14:20,21',1',  [open]  
immi,,UK,Immingham,ftp,,2.06,13:45,56',15',  [open]  
imuj,,Mexico,"Isla Mujeres, Q. R.",ftp,,2.66,05/09/2016 13:54,1d,10',  [open]  
inav,,Colombia,Isla Naval,SXCO41,15A05856,0.28,21/04/2016 14:19,138d,15',  [open]  
inav2,,Colombia,Isla Naval,ftp,,0.79,14:12,29',5',  [open]  
iqui,,Chile,Iquique,SXCH40,ADC1F440,5.59,14:28,13',5',  [open]  
iqui2,,Chile,Iquique,web,,5.64,14:32,8',5',  [open]  
isab,,Puerto Rico,Isabel Segunda,SXXX03,3366D02C,-2.55,14:25,16',6',  [open]  
ishig,,Japan,Ishigakijima,SWJP40,ISHIGAKIJIMA,2.5,14:29,12',10',  [open]  
iske,,Turkey,Iskenderun,ftp,,1.67,14:25,16',2',  [open]  
IT45,,Italy,Isole Tremiti,ftp,,-0.12,23/11/2015 07:13,288d,5',  [open]  
jaca,,Haïti,Jacmel,SEHA10,49A014F4,-999,14:28,13',5',  [open]  
jack,,New Zealand,Jackson Bay,SZPS01,65180,2.56,14:35,6',6',  [open]  
jask,,Iran,Jask,SXXX32,16F152DA,-999,14:27,14',15',  [open]  
jers,,UK,Jersey,ftp,,3.57,13:45,56',15',  [open]  
john,109,USA,Johnston,SXHW11,15D142A4,7.2,14:32,9',5',  [open]  
juan,176,Chile,Juan Fernandez,SXCH40,ADC0B5B0,5.04,14:32,9',5',  [open]  
juan2,176,Chile,Juan Fernandez,web,,5.14,14:35,5',5',  [open]  
kahu,,USA,"Kahului, Maui",web,,0.63,14:29,12',6',  [open]  
kahu2,,USA,"Kahului, Maui",SXXX03,33518414,-3.52,14:22,19',6',  [open]  
kait,,New Zealand,Kaikoura,SZNZ01,KAIT,2.83,14:34,7',3',  [open]  
kant,145,Kiribati,Kanton,SEPA40,354305A6,3.73,14:30,11',15',  [open]  
kapi,117,Micronesia,Kapingamarangi,SEPA40,3541D63A,-999,14:29,12',5',  [open]  
kaps,,Greece,Kapsali,bgan,KAPS,-2.4,27/08/2016 23:59,10d,1',  [open]  
kara,30,Pakistan,Karachi,SXXX33,120D7136,-999,14:21,20',15',  [open]  
kast,,Greece,Kasteli,SXXX33,16A5E02C,3.04,14:22,19',15',  [open]  
kata,,Greece,Katakolo,ftp,,0.72,14:15,26',3',  [open]  
kawa,,USA,"Kawaihae, Hawaii",web,,0.51,14:29,12',6',  [open]  
kawa2,,USA,"Kawaihae, Hawaii",SXXX03,3351527C,-2.52,14:22,19',6',  [open]  
keba,,Pakistan,Keti Bandar,SXXX32,26E68746,,08/08/2016 06:18,29d,15',  [open]  
kepo,187,UK,King Edward Point,ftp,,0.26,14:25,16',1h,  [open]  
kerg2,23,France,Kerguelen Island,SZIO01,FR023,0.79,14:31,10',15',  [open]  
khol,,Russia,Kholmsk,web,,3.83,22/06/2016 12:44,76d,10',  [open]  
kiel,,Germany,LT Kiel,web,,4.98,14:36,5',5',  [open]  
kinl,,UK,Kinlochbervie,ftp,,2.54,13:45,56',15',  [open]  
kis1,,Ireland,Kish Bank Lighthouse,ftp,,-999,11/09/2015 14:54,361d,1h,  [open]  
kodi,,USA,"Kodiak Island, AK",web,33626698,2.12,14:31,10',5',  [open]  
kodi2,,USA,"Kodiak Island, AK",SXXX03,33626698,-5.03,14:24,17',5',  [open]  
koli,,Indonesia,"Kolinamil, Jakarta Port",SZID52,,7.23,14:33,8',15',  [open]  
koro,,Greece,Koroni,bgan,KORO,0.81,14:21,20',1',  [open]  
kors,,Russia,Korsakov,web,,4.91,10/06/2015 01:59,455d,10',  [open]  
kril,,Russia,Cape Kril'on,web,,10.43,09/06/2015 06:59,455d,10',  [open]  
kush,89,Japan,Kushiro,SWJP40,KUSHIRO,1.8,14:29,12',10',  [open]  
kusm,85,Japan,Kushimoto,SWJP40,KUSHIMOTO,2.56,14:29,12',10',  [open]  
kwaj,111,Marshall Islands,Kwajalein,web,336131EA,0.36,14:33,8',6',  [open]  
kwaj2,111,Marshall Islands,Kwajalein,SXXX03,3362B0F0,-3.17,05/12/2015 00:07,277d,6',  [open]  
kwfl,216,USA,Key West,web,336717C8,0.37,14:31,10',5',  [open]  
kwfl2,216,USA,Key West,SXXX03,336717C8,-3.47,14:24,17',5',  [open]  
LA23,,Italy,Lampedusa,ftp,,0.18,14:34,7',5',  [open]  
lago,,Spain,LaGomera,ftp,,1.81,14:32,9',4',  [open]  
lajo,159,USA,La Jolla,web,3362A386,0.71,14:31,10',5',  [open]  
lajo2,159,USA,La Jolla,SXXX03,3362A386,-9.76,14:24,17',5',  [open]  
lalb,,El Salvador,La Libertad,SOES10,5030C75E,0.14,14:32,9',5',  [open]  
lali,172,Ecuador,La Libertad,SEPO40,3540B126,4.59,14:28,13',5',  [open]  
lame,,USA,LameshurBayStJohnVI,web,335D10EA,0.26,25/07/2016 17:55,43d,6',  [open]  
lamu,,Kenya,Lamu,SXXX33,16287190,8.09,14:31,10',15',  [open]  
lang,,Spain,Langosteira,ftp,,3.24,07:02,8h,4',  [open]  
lank,,Malaysia,Langkawi,SZMS40,06509A3E,-999,05/08/2016 03:27,32d,6',  [open]  
lapa,,Spain,LaPalma,ftp,,1.91,14:32,9',4',  [open]  
larn,,Cyprus,Larnaca,ftp,,17.36,31/12/2015 23:58,250d,0.5',  [open]  
larp,,France,La Rochelle-Pallice,ftp,,3.18,14:32,8',5',  [open]  
larp2,,France,La Rochelle-Pallice 2,SZFR01,FR034,3.13,14:30,11',6',  [open]  
laru2,339,Seychelles,Pt.LaRue,SXXX32,12FD90D0,6.42,14:30,11',6',  [open]  
lasp,251,Spain,LasPalmas2,ftp,,2.17,14:32,9',4',  [open]  
lata,,Solomon Islands,Lata Wharf,SZPS01,57131,0.08,14:35,6',3',  [open]  
laun,,El Salvador,La Union,SEMS40,3354C0DE,0.01,14:24,17',15',  [open]  
laza,,Mexico,Lazaro Cardenas,ftp,,5.95,11/04/2016 18:12,148d,10',  [open]  
lcst,,Italy,Le Castella,bgan,LCST,0.03,14:19,22',1',  [open]  
lebu,,Chile,Lebu,SXCH40,ADC16122,3.93,14:29,12',5',  [open]  
lebu2,,Chile,Lebu,web,,3.98,14:35,5',5',  [open]  
leco,,France,Le Conquet,ftp,,2.48,14:32,8',5',  [open]  
leco2,,France,Le Conquet 2,SZFR01,FR152,2.42,14:30,11',6',  [open]  
lecy,,France,Le Crouesty,ftp,,2.33,14:32,8',5',  [open]  
lega,72,Philippines,Legaspi,SWPA42,06501C2A,2.95,14:36,5',6',  [open]  
leha,,France,Le Havre,ftp,,6.81,14:32,8',5',  [open]  
leha2,,France,Le Havre 2,SZFR01,FR004,6.88,14:28,13',6',  [open]  
leit,,UK,Leith,ftp,,3.01,13:45,56',15',  [open]  
lemba,,Indonesia,Lembar,SZID44,0650A176,5.8,14:34,7',6',  [open]  
lena,,Vanuatu,"Lenakel, Tanna",SZNV41,91566,4.34,14:30,11',6',  [open]  
lero,,Martinique,Le Robert,SOMR10,12A052EA,-999,14:30,11',5',  [open]  
lerw,236,UK,Lerwick (tsunami),socket,,1.91,14:40,-0',0.1667',  [open]  
lerw2,236,UK,Lerwick2,ftp,,2.02,13:45,56',15',  [open]  
leso,,France,Les Sables d'Olonne,ftp,,2.63,14:32,9',5',  [open]  
leso2,,France,Les Sables d'Olonne 2,SZFR01,FR062,2.61,14:31,10',6',  [open]  
levu,,Fiji Islands,Lautoka,SZPS01,67070,0.83,14:35,6',3',  [open]  
lgos,,Portugal,Lagos,socket,,-0.6,16/09/2015 07:57,356d,0.0833',  [open]  
LI11,,Italy,Livorno,ftp,,-0.07,14:35,6',5',  [open]  
lifo,,France,Lifou,SZNC40,0652047A,1.02,07:36,7h,6',  [open]  
lime,,USA,Limetree,web,3364B03E,0.2,14:28,13',6',  [open]  
lime2,,USA,Limetree,SXXX03,3364B03E,-4.23,14:27,14',6',  [open]  
limon,,Costa Rica,Limon,SEPO40,354011DE,6.57,14:30,11',5',  [open]  
litz,,Vanuatu,"Litzlitz, Malekula",SZNV40,91556,4.04,14:30,11',6',  [open]  
live,,UK,Liverpool,ftp,,8.63,13:45,56',15',  [open]  
llan,,UK,Llandudno,ftp,,6.21,12:00,3h,15',  [open]  
lomb,331,Papua New Guinea,Lombrum Manus Is,SZPS01,56130,0.98,14:35,6',3',  [open]  
losa,,USA,Los Angeles,web,336AF75C,0.75,14:31,10',6',  [open]  
losa2,,USA,Los Angeles,SXXX03,336AF75C,-4.04,14:24,17',6',  [open]  
losu,,Costa Rica,Los Sueños,SOCS10,506203F6,-10,14:24,17',5',  [open]  
lott,,New Zealand,East Cape,SZNZ01,LOTT,3,14:34,7',3',  [open]  
lowe,,UK,Lowestoft,ftp,,2.14,13:45,56',15',  [open]  
lpaz,,Mexico,La Paz,ftp,,1.43,17/11/2015 13:53,294d,10',  [open]  
lpbc,,Canada,Langara Point BC (Henslung Cove),SXAK50,15C396A6,2.94,14:31,10',5',  [open]  
luba,,Philippines,Lubang,SXXX33,221F4098,5.96,14:19,22',15',  [open]  
luga,,Vanuatu,Luganville,SZPS01,57210,0.36,14:35,6',6',  [open]  
lymg,,UK,Lymington,web,,0.52,10/08/2016 05:41,27d,0.1666',  [open]  
made,,Mexico,"Puerto Madero, Chis.",ftp,,5.74,11/04/2016 18:25,148d,10',  [open]  
madry,191,Argentina,Puerto Madryn,SEPO40,335665D2,6.64,14:19,22',15',  [open]  
maer,,Turkey,Marmara Ereglisi,ftp,,1.42,14:30,10',2',  [open]  
magi,,USA,Magueyes Island,web,3.36E+45,0.24,14:28,13',6',  [open]  
magi2,,USA,Magueyes Island,SXXX03,3.36E+45,-2.43,14:27,14',6',  [open]  
maho,,Spain,Mahon,ftp,,0.08,14:32,9',4',  [open]  
mais,20,South-Africa,Marion Island,SXXX32,16AF741C,0.01,14:17,24',15',  [open]  
maji,,Oman,Majis,SXOM33,180D62C6,0.13,05/09/2016 03:48,1d,6',  [open]  
maka,,Hawaii,"Makai Pier, Waimanalo, Hawaii",SEPO40,354002A8,6.65,14:31,10',5',  [open]  
make,,Polynésie Française,"Makemo (Polynésie française, Tuamotu)",SEHI40,FAA04758,0.6,13:45,56',1h,  [open]  
mal3,,Spain,Malaga,ftp,,0.69,14:32,9',4',  [open]  
mala,120,Palau Islands,Malakal,SWPA40,xxxxxxxx,2.65,14:32,9',6',  [open]  
male,28,Maldive Islands,Male,SXXX32,16289262,2.27,14:15,26',15',  [open]  
mali,239,Ireland,Malin Head Peninsular,ftp,,-0.99,14:00,41',1h,  [open]  
malo,,Norway,Måløy,web,,1.82,13:30,1h,1h,  [open]  
malp,,Colombia,Malpelo,ftp,,2.11,02/03/2016 10:00,188d,15',  [open]  
malp2,,Colombia,Malpelo,SXCO41,15AAB424,0.26,05/03/2016 20:02,185d,5',  [open]  
mang,,Romania,Mangalia,bgan,MANG,-7.71,14:19,22',1',  [open]  
mani,73,Philippines,Manila,SWPH40,xxxxxxxx,2.21,14:35,6',6',  [open]  
mare,,France,"Maré (New Caledonia, Loyalty Islands)",SZNC41,06520AA8,0.81,14:32,9',6',  [open]  
mari,,Spain,Marin,ftp,,2.1,14:32,9',4',  [open]  
marm,281,India,Marmagao,ftp,43195,1.76,06:48,8h,10',  [open]  
mars,205,France,Marseille,ftp,,0.42,14:32,8',5',  [open]  
marsh,112,Marshall Islands,Majuro,SZPA01,67680,0.87,14:35,6',3',  [open]  
masi,,Oman,Masirah,SXXX33,16288114,1.82,14:31,10',6',  [open]  
mata,,Perú,Matarani,SEPO40,354176C2,5.29,14:30,11',5',  [open]  
maya,,Puerto Rico,Mayaguez,SXXX03,336633DE,-2.72,14:25,16',6',  [open]  
maza,,Mexico,Mazatlan,ftp,,2.87,14:23,18',10',  [open]  
MC41,,Italy,Marina Di Campo,ftp,,-0.03,14:33,8',5',  [open]  
ME13,,Italy,Messina,ftp,,0.08,14:34,7',5',  [open]  
meji,,Chile,Mejillones,SXCH40,1032040,4.09,14:30,11',5',  [open]  
meji2,,Chile,Mejillones,web,,4.16,14:33,7',5',  [open]  
meli,,Spain,Melilla,ftp,,0.37,14:31,10',4',  [open]  
mera,86,Japan,Mera,SWJP40,MERA,2.02,14:29,12',10',  [open]  
meul,,Indonesia,Meulaboh,SXXX33,1205E0F2,-9.99,14:17,24',15',  [open]  
mhav,,UK,Milford Haven,ftp,,1.94,13:45,56',15',  [open]  
midx,106,USA,Midway,web,3363A17C,0.22,14:32,9',6',  [open]  
midx2,106,USA,Midway,SXXX03,3363A17C,-3.26,14:25,16',6',  [open]  
mill,,UK,Millport,ftp,,2.83,13:45,56',15',  [open]  
mimz,,France,Mimizan,ftp,,2.1,14:33,7',5',  [open]  
mimz2,,France,Mimizan 2,SZFR01,FR6144,2.06,-maintenance-,11',6',  [open]  
mind,,Cabo Verde,Mindelo,ftp,1841B6EE,-999,10/06/2016 19:55,88d,15',  [open]  
mini,29,India,Minicoy,ftp,43370,1.21,24/08/2016 06:19,13d,10',  [open]  
mins,104,Japan,Minami-Tori-Shima,SWJP40,MINAMITORISHIMA,2.27,14:29,12',10',  [open]  
mnkt,,New Zealand,Manakau,SZNZ01,MNKT,3.45,14:34,7',3',  [open]  
momb,8,Kenya,Mombasa,SXXX33,22ADF72A,5.77,14:30,11',15',  [open]  
mona,,USA,Mona Island,web,3365E2B8,0.23,14:31,10',6',  [open]  
mona2,,USA,Mona Island,SXXX03,3365E2B8,-1.94,14:31,10',6',  [open]  
monc,,Monaco,"Monaco, Fontvieille harbour",ftp,,0.57,27/10/2015 03:52,315d,5',  [open]  
monc2,,Monaco,"Monaco2, Fontvieille harbour",SZFR01,FR022,0.46,14:22,19',6',  [open]  
mont,,USA,Monterey,web,33630184,0.67,14:31,10',6',  [open]  
mont2,,USA,Monterey,SXXX03,33630184,-4.44,14:24,17',6',  [open]  
mony,,USA,"Montauk, NY",web,33401412,0.74,14:27,14',5',  [open]  
mony2,,USA,"Montauk, NY",SXXX03,33401412,-3.57,14:26,15',5',  [open]  
motr,,Spain,Motril2,ftp,,0.68,14:32,9',4',  [open]  
moul,141,Myanmar,Moulmein,SZBM40,0650AFA4,4.62,14:30,11',6',  [open]  
ms001,,Malaysia,"Porto Malai, Langkawi",SZMS01,MS001,1.86,04/01/2016 16:00,246d,1h,  [open]  
ms002,,Malaysia,"Kerachut, Penang",SZMS01,MS002,4.15,23/10/2015 03:51,319d,1h,  [open]  
ms004,,Malaysia,Pulau Perhentian,SZMS01,MS004,2.42,30/11/2015 01:49,281d,1h,  [open]  
ms005,,Malaysia,"Kudat, Sabah",SZMS01,MS005,1.69,04/01/2016 16:00,246d,1h,  [open]  
ms006,,Malaysia,"Lahad Datu, Sabah",SZMS01,MS006,2.63,04/01/2016 16:00,246d,1h,  [open]  
mtwa,9,Tanzania,Mtwara,SXXX33,26313506,7.57,19/12/2015 07:40,262d,15',  [open]  
mumb,,UK,Mumbles,ftp,,2.16,13:45,56',15',  [open]  
mus2,,Oman,Muscat (BGAN),bgan,OM-MUSC-00,0.01,14:40,1',5',  [open]  
musc,,Oman,Muscat,SXXX32,262D700E,4.6,14:30,11',15',  [open]  
NA23,,Italy,Napoli,ftp,,0.1,23/11/2015 06:09,288d,5',  [open]  
naga,83,Japan,Nagasaki,SWJP40,NAGASAKI,3.4,14:29,12',10',  [open]  
naha,81,Japan,Naha,SWJP40,NAHA,3.03,14:29,12',10',  [open]  
naho,,Russia,Nahodka,web,,1.15,14:30,11',10',  [open]  
nain,224,Canada,Nain,ftp,,1.98,02/09/2016 21:44,4d,6h,  [open]  
nanc,,India,Nancowry,ftp,43383,1.41,06:46,8h,10',  [open]  
nans,,China,Nansha,SZCI01,11756,-999,14:29,12',5',  [open]  
napt,,New Zealand,Port Napier,SZNZ01,NAPT,2.3,14:34,7',3',  [open]  
nauu,,Nauru,Nauru,SZPS01,67640,1.01,14:35,6',6',  [open]  
nawi,,USA,"Nawiliwili, Kauai",web,,0.52,14:23,18',1',  [open]  
nawi2,,USA,"Nawiliwili, Kauai",SXXX03,3350E308,11.34,01/01/2016 01:36,250d,1',  [open]  
ncpt,,New Zealand,North Cape,SZNZ01,NCPT,3.91,14:34,7',3',  [open]  
neve,,Russia,Nevel'sk,web,,2.34,-maintenance-,12',10',  [open]  
newl2,241,UK,Newlyn2,ftp,,1.35,13:45,56',15',  [open]  
nhav,,UK,Newhaven,ftp,,6.31,13:45,56',15',  [open]  
nice,,France,Nice,ftp,,0.47,14:31,9',5',  [open]  
nice2,,France,Nice2,SZFR01,FR339,0.47,14:27,14',6',  [open]  
nkfa,125,Tonga Island,Nukualofa,SZPS01,66600,0.81,14:35,6',3',  [open]  
nksk,,Russia,Nikol'skoe,web,,0.95,14:29,12',10',  [open]  
noct,,Mauritania,Nouakchott,SXXX33,366E2324,-999,09/02/2015 22:15,575d,15',  [open]  
nome,74,USA,Nome,web,3360809E,-0.01,14:29,12',6',  [open]  
nome2,74,USA,Nome,SXXX03,3360809E,-5.11,14:28,13',6',  [open]  
noto,,Japan,Noto,SWJP40,NOTO,2.44,14:29,12',10',  [open]  
noua,,Mauritania,Nouadhibou,ftp,18ABD7D0,0.62,14/07/2016 03:50,54d,1h,  [open]  
npor,,UK,Newport,ftp,,4.01,13:45,56',15',  [open]  
nshi,,UK,North Shields,ftp,,1.69,13:45,56',15',  [open]  
nspi,,USA,"North Spit, Humboldt",web,336837B6,0.92,14:27,14',6',  [open]  
nspi2,,USA,"North Spit, Humboldt",SXXX03,336837B6,-4.55,14:26,15',6',  [open]  
nuku,142,France,"Nuku Hiva (Marquesas, French Polynesia)",SEPO40,3540D4C0,7.31,14:31,10',5',  [open]  
numbo,123,France,Nouméa - Numbo (New Caledonia),ftp,,1.04,14:32,8',5',  [open]  
nuuk,225,Denmark,Nuuk harbor,email,,-0.28,14:34,6',5',  [open]  
nyal,345,Norway,Ny Ålesund,web,,0.66,13:30,1h,1h,  [open]  
ofun,87,Japan,Ofunato,SWJP40,OFUNATO,1.58,14:29,12',10',  [open]  
omae,,Japan,Omaezaki,SWJP40,OMAEZAKI,2.28,14:29,12',10',  [open]  
OR24,,Italy,Ortona,ftp,,0.17,14:33,8',5',  [open]  
orma,,Pakistan,Ormara,SXXX32,262AD2C2,4.4,14:19,22',15',  [open]  
oste,,Belgium,Ostend,ftp,,4.29,14:15,26',15',  [open]  
OT15,,Italy,Otranto,ftp,,-0.09,14:34,7',5',  [open]  
otat,,New Zealand,Dunedin,SZNZ01,OTAT,4.17,14:34,7',3',  [open]  
ouin,,France,"Ouinne, New Caledonia",SZNC43,06522C44,0.82,14:34,7',6',  [open]  
PA07,,Italy,Palermo,ftp,,0.1,24/11/2015 10:19,287d,5',  [open]  
pada,45,Indonesia,Padang,SZID50,6510374,6.67,14:35,6',15',  [open]  
padn,45,Indonesia,Padang2,bgan,ID-PADN-00,0.01,10/04/2016 07:30,149d,5',  [open]  
pagb,,USA,"Pago Bay, Guam",web,,0.41,14:30,11',6',  [open]  
pago,144,Samoa,Pago Pago,web,336015FC,0.14,14:33,8',6',  [open]  
pagx,144,Samoa,Pago Pago,SXXX03,336312F2,-2.31,14:27,14',6',  [open]  
palb,,Canada,Port Alberni,SXAK50,15C3B04A,1.71,14:31,10',5',  [open]  
pale,,Greece,Paleochora,bgan,PALE,0.79,02/08/2016 05:19,35d,1',  [open]  
palm,,Spain,PalmadeMallorca,ftp,,-0.01,14:31,10',4',  [open]  
palm1,329,Cabo Verde,Palmeira,SXXX33,26D6F7A6,6.52,14:30,11',15',  [open]  
pana,,Indonesia,Pangandaran,SXXX33,22F96330,-9.08,14:27,14',15',  [open]  
pant,,Italy,Pantelleria,bgan,PANT,0.18,14:18,23',1',  [open]  
papa,,Costa Rica,Papagayo Marina,SOCS10,5062538A,-10,14:24,17',5',  [open]  
pape,140,France,"Papeete (Tahiti, French Polynesia)",SEPO40,3341D3F6,6.26,14:31,10',5',  [open]  
papho,,Cyprus,Paphos,ftp,,-999,14:35,6',1',  [open]  
papo,,Chile,Paposo,SXCH40,ADC285DE,4.07,14:32,9',5',  [open]  
papo2,,Chile,Paposo,web,,4.12,14:31,9',5',  [open]  
para,,Cyprus,Paralimni,ftp,,2.15,21/07/2016 12:25,47d,0.5',  [open]  
pata,,Chile,Patache,SXCH40,ADC22526,3.97,14:31,10',5',  [open]  
pata2,,Chile,Patache,web,,4.01,14:34,6',5',  [open]  
pcha,,Chile,Puerto Chacabuco,SXCH40,1403B58C,5.4,14:24,17',10',  [open]  
pcha2,,Chile,Puerto Chacabuco,web,,5.28,14:32,8',10',  [open]  
pcor,,Honduras,Puerto Cortes,SOHO10,50C44664,1.31,14:00,41',1h,  [open]  
pdas,245,Portugal,Ponta Delgada Azor,SEPO40,354271CC,5.26,14:30,11',5',  [open]  
PE09,,Italy,Porto empedocle,ftp,,0.05,14:34,7',5',  [open]  
pedn,,Chile,Puerto Eden,SXCH40,1400B282,4.6,14:24,17',15',  [open]  
pedn2,,Chile,Puerto Eden,web,,4.45,14:26,14',15',  [open]  
peir,,Greece,Peiraias,ftp,,0.76,14:30,11',3',  [open]  
penr,143,Cook Islands,Penrhyn,SEPO40,3541A0AA,5.33,14:31,10',5',  [open]  
petr,93,Russia,Petropavlovsk,web,,2.68,14:29,12',10',  [open]  
phbc,,Canada,Port Hardy,SXAK50,CD4038A0,2.62,14:33,8',5',  [open]  
pich2,,Chile,Pichidangui,web,,4.59,14:38,2',5',  [open]  
pich3,,Chile,Pichidangui,web,,4.58,14:35,5',5',  [open]  
pisa,,Chile,Pisagua,SXCH40,ADC17254,4.67,14:31,10',5',  [open]  
pisa2,,Chile,Pisagua,web,,4.7,14:35,5',5',  [open]  
pkem,,Australia,Port Kembla,SZAU01,60420,1.22,14:35,6',3',  [open]  
PL14,,Italy,Palinuro,ftp,,-0.02,14:34,7',5',  [open]  
plat2,192,Argentina,Mar del Plata,SEPO40,3542B4D2,9.03,14:19,22',15',  [open]  
plmy,,USA,Palmyra Island,SEPO40,3541E3A0,6.68,14:28,13',5',  [open]  
