ID,lat,lon,name,status,COUNTRY
10,48.86,-175.6,"Station 46413 - East of ADAK, AK",active,
11,49.63,-169.87,Station 46408 - NW Pacific S AK,active,
12,49.63,-169.87,Station 46408 - NW Pacific S AK,active,
13,-19.55,-74.81,Station 32401 - 260 NM West-Southwest of Arica Chile,active,
14,-18.13419,178.4236,"Suva, Viti Levu, Fiji",active,
16,0.05,91.9,Station 53401 - Indonesia,active,
20,30.55,152.1178,"690 NM Southeast of Tokyo, Japan",active,
21,48.94218,178.2702,Station 21414 - NW Pacific,active,
22,50.17253,171.8369,175 NM S of Attu AK,active,
23,48.04352,163.4881,240NM SE of Kamchatka Peninsula,active,
24,43.19167,157.1417,290 NM SE of the Kuril Islands,active,
25,38.70625,148.665,"450 NM Northeast of Tokyo, Japan",active,
26,8.905,88.54," 600 NM West-Northwest of Phuket, Thailand",active,
27,-19.547,-74.813,260 NM West-Southwest of Arica Chile,active,
28,4.923316,-90.68517,"710 NM West-Southwest of Panama City, Panama",active,
29,-17.96667,-86.38333,"630 NM Southwest of Lima, Peru",active,
30,23.31232,-67.63937,"690 NM East of Miami, FL",active,
31,23.3995,-63.90094,"320 NM North of San Juan, PR",active,
32,32.9279,-72.4696,"370 NM East of Charleston, SC",active,
33,15.26,-68.229,"230 NM South of San Juan, PR",active,
34,26.658,-85.791,"295 NM Southeast of New Orleans, LA",active,
35,16.03372,-107.001,"240 NM Southwest of Manzanillo, Mexico",active,
36,10.83997,-100.085,"360 NM South-Southwest of Acapulco, Mexico",active,
37,37.56207,-49.99998,790 NM NE of Bermuda,active,
38,38.20436,-67.93835, 250 NM SE of Montauk Pt N.Y.,active,
39,51.06956,-164.0105,"240 NM South of Dutch Harbor, AK",active,
40,45.859,-128.778,"230 NM West of Astoria, OR",active,
41,42.60425,-128.9003,"210 NM West of Coos Bay, OR",active,
42,49.626,-169.8715,NW Pacific S AK,active,
43,57.5,-144," 330 NM Southeast of Anchorage, AK",active,
44,32.246,-120.698,"190 NM West-Southwest of San Diego, CA",active,
45,48.8,-129.6,"300 NM West-Northwest of Seattle, WA",active,
46,-8.488548,-125.0054,"2,900 NM Southeast of Hawaii",active,
47,19.63,-156.525,"140 NM Southeast of Honolulu, HI",active,
48,-22.99322,-168.0981,400 NM Southeast of Tonga,active,
49,19.28561,155.7663, 610 NM Northeast of Saipan,active,
50,11.575,154.588,790 NM Northwest of Kwajalein,active,
51,4.00334,145.536,430 NM Southwest of Truk,active,
52,20.93567,132.3088,"760 NM Northeast of Manila, Philippines",active,
53,12.86667,132.3333,"740 NM West of Agana, Guam",active,
54,0.05,91.88333,Indonesia,active,
56,43.28,145.57,"Hanasaki, Japan HAN",active,
59,-17.75533,168.3077,"Port Vila, Efate, Vanuatu",active,
60,-23.01333,163.0083,Station 55012 - DART Coral Sea,active,
61,-46.92215,160.5621,Station 55015 - DART TASMAN SEA 1,active,
62,38.534,-28.62183,Faial Island,active,
63,38.5315,-28.32117,Pico,active,
64,38.6505,-27.22183,Terceira,active,
65,-5.3633,165.0467,Station 52406 - 450 NM Northeast of the Guadalcanal,active,
66,-9.493333,-176.245,Station 51425 - 370 NM NW of Apia,active,
68,51.069,-164.011,"Station 46402 - 240 NM South of Dutch Harbor, AK",active,
69,52.65,-156.94,"Station 46403 - 230 NM Southeast of Shumagin Island, AK",active,
71,55.3,-148.5,"Station 46409 - 240 NM Southeast of Kodiak, AK",active,
72,39.34,-127.007,"Station 46411 - 260 NM Northwest of San Francisco, CA",active,
73,50.173,-171.837,Station 21415 - 175 NM S of Attu AK,active,
815,-16.2311,-73.6944,Perú - Atico_PE ,active,
816,54.253,-9.89,Ireland - Ballyglass pier  Belmullet,active,
817,-0.433,-90.283,Ecuador - Baltra Galapagos_EC,active,
818,44.3916,-68.205,USA - Bar_Harbor_ME ,active,
819,41.34,2.16,Spain - Barcelona ,active,
820,-41.0501,145.915,Australia - Burnie_Tasmania_AU ,active,
821,34.72,-76.67,USA - Beaufort_NC ,active,
822,-8.7666,115.2166,Indonesia - Benoa ,active,
824,32.22,-64.7,UK - Bermuda_UK ,active,
825,42.355,-71.0516,USA - Boston_MA ,active,
827,-18.0008,122.2186,Australia - Broome_AU ,active,
828,22.87861,-109.9,Mexico - Cabo_San_Lucas_MX ,active,
829,-27.058,-70.834,Chile - Caldera_CL ,active,
830,-12.071,-77.174,Perú - Callao La-Punta_PE,active,
831,38.69316,-9,Portugal - Cascais ,active,
832,51.6496,-9.9034,Ireland - Castletownbere ,active,
833,35.54,-5.19,Spain - Ceuta ,active,
834,39.0837,8.1829,Italy - Carloforte ,active,
835,25.2958,60.603,Iran - Chabahar ,active,
836,43.345,-124.3217,USA - CharlestonOR ,active,
837,-10.4294,105.6693,Australia - Christmas_Island_AU ,active,
839,22.3333,91.825,Bangladesh - Chittagong ,active,
840,-7.75,109,Indonesia - Cilicap ,active,
842,38.9683,-74.96,USA - Cape_May_NJ ,active,
843,44.64,-67.3,USA - CutlerNavalBase_ME ,active,
844,-12.1167,96.8919,Australia - Cocos_Island_AU ,active,
845,6.95,79.85,Sri Lanka - Colombo ,active,
846,6.95,79.85,Sri Lanka - Colombo ,active,
847,-29.93,-71.35,Chile - Coquimbo_CL ,active,
848,60.558,-145.753,USA - Cordova_AK ,active,
849,-39.8667,-73.4333,Chile - Corral_CL ,active,
850,43.21,-8.23,Spain - Coruña ,active,
851,41.745,-124.183,USA - Crescent_City_CA ,active,
852,18.3008,-65.3028,USA - Culebra_Is_PR ,active,
853,53.86778,8.7175,Germany - Cuxhaven ,active,
854,27.978,-82.832,USA - Clearwater_Beach_FL ,active,
855,14.676,-17.42,Sénégal - Dakar ,active,
856,-12.4719,130.8458,Australia - Darwin_AU ,active,
857,7.08333,125.6333,Philippines - Davao_PH ,active,
859,6.9806,158.2001,Micronesia - Dekehtik Pohnpei_FM,active,
860,30.2,-88.1,USA - Dauphin_Island_AL ,active,
861,11.6,43.1666,Djibouti - Djibouti ,active,
862,36.1833,-75.7466,USA - Duck_Pier_NC ,active,
865,-27.153,-109.448,Chile - Easter_CL ,active,
866,30.05,-90.368,USA - East_Bank_1_LA ,active,
867,58.1933,-136.3433,USA - Elfin_Cove_AK ,active,
868,-5.3461,102.2781,Indonesia - Enggano ,active,
869,44.9033,-66.985,USA - East_Port_ME ,active,
870,-33.8709,121.8954,Australia - Esperance_AU ,active,
872,30.672,-81.465,USA - Fernadina_Beach_FL ,active,
873,43.46,-8.33,Spain - Ferrol1 ,active,
874,-19.2773,147.0584,Australia - Cape_Ferguson_AU ,active,
875,26.65,-81.87,USA - Fort_Myers_FL ,active,
876,-8.5025,179.1952,Tuvalu Islands - Fongafale_TV ,active,
877,-3.716667,-38.4667,Brasil - Fortaleza ,active,
878,32.033,-80.902,USA - Fort_Pulaski_GA ,active,
880,37.807,-122.465,USA - Ft_Point San_Fran,active,
881,23.867,-166.283,USA - Tern Fr._Frigate_US,active,
882,0.6867,73.1517,Maldive Islands - Gan ,active,
883,-7.2333,72.4333,UK - Diego Garcia ,active,
884,36.13,-5.35,UK - Gibraltar ,active,
885,-38.67541,178.0229,New Zealand - Gisborne ,active,
886,57.683,11.783,Sweden - GoteborgTorshamnen ,active,
887,29.31,-94.793,USA - Galveston_Pier_TX ,active,
888,-13.86,136.4158,Australia - Groote Eylandt ,active,
889,13.438,144.652,USA - Guam (Apra Harbor) ,active,
890,43.28,145.57,Japan - Hanasaki ,active,
891,6.7667,73.1667,Maldive Islands - Hanimadhoo ,active,
892,-31.8255,115.7386,Australia - Hillarys_Harbor_AU ,active,
893,19.733,-155.058,USA - Hilo Hawaii,active,
894,57.6,9.97,Denmark - Hirtshals ,active,
895,-9.8047,-139.0344,Polynésie Française (French Polynesia) - Hiva_Oa Marquesas,active,
896,53.3105,-4.633796,UK - Holyhead ,active,
897,21.307,-157.867,USA - Honolulu Oahu,active,
898,37.13,-6.83,Spain - Huelva5 ,active,
899,43.5237,8.0109,Italy - Imperia ,active,
900,-23.91666,35.5,Moçambique - Inhambane ,active,
901,-20.2167,-70.17,Chile - Iquique_CL ,active,
902,24.2,124.1,Japan - Ishigakijima ,active,
903,16.739,-169.5233,USA - Johnston_US ,active,
904,-33.617,-78.825,Chile - Juan_Fernandez ,active,
908,24.85,67.03,Pakistan - Karachi ,active,
909,20.78,-156.9,USA - Kaumalapau Hawaii,active,
910,20.036,-155.832,USA - Kawaihae Hawaii,active,
911,-54.28,-36.5,UK - King Edward Point ,active,
912,-49.345,70.22,France - Kerguelen ,active,
913,53.31167,-5.92167,Ireland - Kish Bank Lighthouse ,active,
914,7.8167,98.4167,Thailand - Ko Taphao Noi ,active,
915,6.1966,81.32,Sri Lanka - Kirinda ,active,
916,8.7367,167.7383,USA - Kwajalein_MH ,active,
917,24.553,-81.808,USA - Key_West_FL ,active,
918,28.09,-17.11,Spain - LaGomera ,active,
919,6.25,3.24, - Lagos ,active,
920,32.867,-117.258,USA - La_Jolla_CA ,active,
921,-2.209,-80.902,Ecuador - La_Libertad_EC ,active,
922,18.2,-64.44,USA - LameshurBayStJohnVI ,active,
923,-2.2667,40.9,Kenya - Lamu ,active,
924,6.416,99.7667,Malaysia - Langkawi ,active,
925,-4.5,55.5,Seychelles - Pt.LaRue ,active,
927,-17.6049,177.4383,Fiji Islands - Lautoka_FJ ,active,
928,17.7,-64.75,USA - Limetree_VI ,active,
929,-2.0421,147.3737,Papua New Guinea - Lombrum_Manus_Is_PG ,active,
930,17.9767,-67.0467,USA - Magueyes_Island_PR ,active,
931,-46.8667,37.8667,South-Africa - Marion Island ,active,
932,7.3282,134.4502,Palau Islands - Malakal ,active,
933,4.19,73.5267,Maldive Islands - Male ,active,
934,55.37168,-7.33432,Ireland - Malin Head Peninsular ,active,
935,14.5833,120.9667,Philippines - Manila ,active,
936,19.062,-104.252,Mexico - Manzanillo_MX ,active,
937,20.6833,58.8667,Oman - Masirah ,active,
938,35.29,-2.93,Spain - Melilla ,active,
939,28.207,-177.356,USA - Midway ,active,
940,-4.0667,39.39,Kenya - Mombasa ,active,
941,18.09,-67.9383,USA - Mona_Island_PR ,active,
942,16.4833,97.6166,Myanmar - Moulmein ,active,
943,40.5023,14.1609,Italy - Napoli ,active,
944,26.22,127.67,Japan - Naha ,active,
945,-39.47566,176.9201,New Zealand - Napier ,active,
946,21.957,-159.36,USA - Nawiliwili Kauai,active,
948,50.103,-5.54275,UK - Newlyn ,active,
950,-21.1368,-175.1807,Tonga Island - Nukualofa_TO ,active,
951,18.1,-15.95,Mauritania - Nouakchott ,active,
952,64.5,-165.43,USA - Nome_AK ,active,
953,-8.9219,-140.0953,France - Nuku_Hiva Marquesas,active,
954,39,141.75,Japan - Ofunato ,active,
955,34.6,138.23,Japan - Omaezaki ,active,
956,40.14715,18.49709,Italy - Otranto ,active,
957,-0.95,100.3667,Indonesia - Padang ,active,
958,13.4283,144.797,USA - Pago Bay  Guam,active,
959,-14.2766,-170.6907,USA - Pago_Pago_AS ,active,
960,16.755,-22.9833, islas del - Palmeira Cabo Verde,active,
966,-34.4738,150.9119,Australia - Port_Kembla_AU ,active,
970,-21.8167,114.191,Australia - PtMurat ,active,
973,-38.3434,141.6132,Australia - Portland_AU ,active,
974,-35.1086,138.467,Australia - Port_Stanavac_AU ,active,
975,-8.2833,111.7333,Indonesia - Prigi ,active,
978,-20.15716,57.5043,Mauritius - Pt.Louis ,active,
979,-54.9333,-67.6112,Chile - Puerto_Williams_CL ,active,
981,-21.2,-159.783,Cook Islands - Rarotonga_CK ,active,
982,64.15,-21.93333,Iceland - Reykjavik ,active,
983,-23.1333,-134.95,Polynésie Française (French Polynesia) - Rikitea_PF ,active,
984,-19.68024,63.42119,Mauritius - Rodrigues ,active,
985,-23.161,150.7902,Australia - Rosslyn_Bay_AU ,active,
986,5.8333,95.3333,Indonesia - Sabang ,active,
987,-8.190194,110.798,Indonesia - Sadeng ,active,
988,15.2266,145.7416,USA - Saipan_US ,active,
989,16.935,54.0067,Oman - Salalah ,active,
990,-12.97,-38.52,Brasil - Salvador_Itaparica ,active,
991,-26.258,-80.124,Chile - San_Felix_CL ,active,
992,18.4617,-66.1167,USA - San_Juan_PR ,active,
993,-33.5833,-71.6333,Chile - San_Antonio_CL ,active,
994,-0.752,-90.307,Ecuador - SantaCruz Galapagos,active,
996,44.625,-124.043,USA - South_Beach_OR ,active,
997,55.3367,-160.5017,USA - Sand_Point_AK ,active,
998,-3.224167,101.5994,Indonesia - Seblat ,active,
999,50.678,156.1388,Russia - Severo_Kurilsk_RU ,active,
1000,60.119,-149.427,USA - Seward_AK ,active,
1001,1.7333,98.8,Indonesia - Sibolga ,active,
1002,-34.18333,18.43333,South-Africa - Simonstown ,active,
1003,57.0517,-135.3417,USA - Sitka_AK ,active,
1005,58.35,11.216,Sweden - Smogen ,active,
1006,4.005786,9.125922,Cameroon - Port Sonara ,active,
1008,-42.5459,147.9327,Australia - Spring_Bay_AU ,active,
1009,-51.75,-57.93333,UK - Stanley ,active,
1010,17.7419,-64.6922,USA - St_Croix_VI ,active,
1011,59.316,18.083,Sweden - Stockholm ,active,
1012,58.2,-6.38,UK - Stornoway ,active,
1013,14.8167,120.2833,Philippines - Subic_Bay ,active,
1014,-69.00777,39.57028,Antarctica - Syowa ,active,
1017,-36.6833,-73.1,Chile - Talcahuano_CL ,active,
1018,0.554,97.822,Indonesia - Telukdalam ,active,
1019,-32.1489,133.6413,Australia - Thevenard_AU ,active,
1020,-6.482942,105.6634,Indonesia - Tanjung Lesung ,active,
1021,32.78,132.97,Japan - Tosashimizu ,active,
1022,45.64939,13.75794,Italy - TRIESTE ,active,
1023,8.5637,81.1996,Sri Lanka - Trinconmalee ,active,
1024,53.88333,-166.5333,USA - Unalaska ,active,
1025,-13.8268,-171.7613,Samoa; U.S.A. - Apia_Upolu_WS ,active,
1026,-33.033,-71.617,Chile - Valparaiso_CL ,active,
1027,-17.7553,168.3077,Vanuatu - Vanuatu ,active,
1028,-65.25,-64.27,Antarctica - Vernadsky ,active,
1029,18.0939,-62.4714,USA - Vieques_PR ,active,
1030,-18.1342,178.4236,Fiji Islands - Suva_Viti_Levu_FJ ,active,
1031,10.34,107.071,Viet Nam - Vung Tau ,active,
1032,-9.3898,119.2188,Indonesia - Waikelo ,active,
1033,-43.9458,-176.5608,New Zealand - Waitangi Chatham_NZ,active,
1034,19.29,166.618,USA - Wake_US ,active,
1038,-6.15,39.1833,Tanzania - Zanzibar ,active,
1043,45.7562,8.617,Tamosy Large Panel (Temp),active,
1044,46.5,8.617,Tamosy Large Panel (Press),active,
1047,44.62,8.63,Malpensa (Temp),active,
1048,44.62,8.93,Malpensa (Press),active,
1052,37.95134,-8.875896,Sines,active,
1056,-46.66528,161.0014,Station 55013 - ETD TASMAN SEA 2,active,
1090,44.471,155.736,Station 21419 - 209NM SE of KURIL ISLANDS,active,
1091,25.2,-87,"Station 42408 - 310 NM South-Southeast of New Orleans, LA",active,
1092,39.487,-70.594,"Station 44402 - 136NM SE of Fire Island, NY.",active,
1093,46.638,-170.79,"Station 46401 - East of ADAK, AK",active,
1094,42.903,-130.909,"Station 46405 - 325 NM West-Southwest of Newport, OR",active,
1095,-8.491,-125.023,"Station 46406 - 2,900 NM Southeast of Hawaii",active,
1096,55.301,-148.495,"Station 46409 - 240 NM Southeast of Kodiak, AK",active,
1097,40,-150,Station 46499 - DART Special Test ,active,
1098,-33.005,-172.985,"Station 54401 - 640NM Northeast of Auckland, New Zealand",active,
1268,-10.346,56.586,Mauritius - Agalega,active,
1271,-3.683,128.183,Indonesia - Ambon,active,
1272,69.317,16.15,Norway - Andenes,active,
1273,18.48,-66.702,Puerto Rico - Arecibo,active,
1275,52.232,-174.173,"USA - Atka, AK",active,
1277,48.84,-125.14,Canada - Bamfield,active,Canada
1278,30.326,-89.326,"USA - Bay Waveland Yacht Club, MS",active,
1280,43.36,-3.05,Spain - Bilbao3,active,
1281,1.45,125.2,Indonesia - Bitung,active,
1283,-20.444,57.711,Mauritius - Blue Bay,active,
1284,48.38,-4.5,France - Brest,active,
1286,29.768,-93.343,"USA - Calcasieu Pass, LA",active,
1289,49.65,-1.63,France - Cherbourg,active,
1290,-44.025,-176.369,New Zealand - Chatham Island,active,
1292,-7.75,109,Indonesia - Cilacap2,active,
1293,27.58,-97.217,"USA - Corpus Christi, TX",active,
1294,-24.221,113.397,Australia - Cape Cuvier Wharf,active,
1295,-3.8,55.667,Seychelles - Denis Island,active,
1296,49.93,1.085,France - Dieppe,active,
1297,-12.783,45.258,France - Dzaoudzi (Mayotte) FTP,active,
1298,-12.783,45.258,France - Dzaoudzi(Mayotte) GTS,active,
1302,18.334,-65.631,Puerto Rico - Fajardo,active,
1306,39,-0.15,Spain - Gandia,active,
1308,36.13,-5.35,UK - Gibraltar(GTS),active,
1309,29.263,-89.957,"USA - Grand Isle, LA",active,
1327,13.161,123.758,Philippines - Legaspi,active,
1328,49.482,0.106,France - Le Havre,active,
1329,-8.731,116.072,Indonesia - Lembar,active,
1334,-37.55,178.159,New Zealand - East Cape,active,
1336,61.933,5.117,Norway - Måløy,active,
1337,43.291,5.356,France - Marseille,active,
1338,7.106,171.373,Marshall Islands - Majuro,active,
1339,18.217,-67.159,Puerto Rico - Mayaguez,active,
1340,4.317,96.217,Indonesia - Meulaboh,active,
1344,41.048,-71.96,"USA - Montauk, NY",active,
1345,36.72,-3.52,Spain - Motril2,active,
1353,56.55,-61.68,Canada - Nain,active,Canada
1357,43.695,7.285,France - Nice,active,
1367,-0.95,100.367,Indonesia - Padang2,active,
1379,-8.283,111.733,Indonesia - Prigi2,active,
1397,-7.983,131.291,Indonesia - Saumlaki,active,
1400,26.42,-79.01,Bahamas - Settlement pt,active,
1410,1.363,172.93,Kiribati - Tarawa,active,
1429,41.523,-70.672,"USA - Woods Hole, MA",active,
1430,46.908,-124.11,"USA - Westport,WA",active,
1432,1.984,-157.473,Kiribati - Christmas,active,
1433,18.055,-65.833,"USA - Yabucoa Harbor, PR",active,
1434,59.548,-139.735,USA - Yakutat,active,
1436,-14.803,153.585,Station 55023 - STB Coral Sea,active,
1437,-15.8,158.5,Station 55012 - STB Coral Sea,active,
1438,41.92,8.76,France - Ajaccio ,active,
1439,39.867,3.117,Spain - Alcudia ,active,
1440,31.211,29.924,Egypt - Alexandria ,active,
1441,36.177,-5.398,Spain - Algeciras ,active,
1442,18.48,-66.702,Puerto Rico - Arecibo (GTS) ,active,
1443,44.665,-1.164,France - Arcachon Eyrac ,active,
1444,50.969,1.868,France - Calais ,active,
1445,47.874,-3.907,France - Concarneau ,active,
1446,-40.899,176.232,New Zealand - Castlepoint ,active,
1447,18.017,120.483,Philippines - Currimao ,active,
1448,6.124,81.127,Sri Lanka - Hambantota ,active,
1449,38.917,1.45,Spain - Ibiza2 ,active,
1450,25.63,57.77,Iran - Jask ,active,
1451,37.022,22.11,Greece - Kalamata ,active,
1452,37.64,21.319,Greece - Katakolo ,active,
1453,47.051,142.044,Russia - Kholmsk ,active,
1454,46.633,142.767,Russia - Korsakov ,active,
1455,28.141,-15.412,Spain - LasPalmas2 ,active,
1456,10,-83.033,Costa Rica - Limon ,active,
1457,53.45,-3.018,UK - Liverpool ,active,
1458,-10.267,40.2,Tanzania - Mtwara ,active,
1459,23.628,58.565,Oman - Muscat (BGAN) ,active,
1460,23.633,58.567,Oman - Muscat ,active,
1461,39.56,2.638,Spain - PalmadeMallorca ,active,
1462,-7.748,108.501,Indonesia - Pangandaran ,active,
1463,37.935,23.621,Greece - Peiraias ,active,
1464,53.017,158.65,Russia - Petropavlovsk ,active,
1465,42.909,133.922,Russia - Preobrazheniye ,active,
1466,-46.085,166.589,New Zealand - Puysegur Welcome Bay ,active,
1467,9.4,-84.167,Costa Rica - Quepos ,active,
1468,-14.946,-147.706,"France - Rangiroa Atoll (Tuamotu, French Polynesia) ",active,
1469,-29.28,-177.894,New Zealand - Raoul Island Boat Cove ,active,
1470,-29.251,-177.904,New Zealand - Raoul Island Fishing Rock ,active,
1471,48.716,-3.966,France - Roscoff ,active,
1472,44.35,135.8,Russia - Rudnaya Pristan ,active,
1473,18.421,-69.629,Dominican Republic - Santo Domingo/p.San Andres ,active,
1474,50.678,156.139,Russia - Severo Kurilsk (web) ,active,
1475,48.642,-2.028,France - Saint-Malo ,active,
1477,37.438,24.941,Greece - Syros ,active,
1478,36.006,-5.604,Spain - Tarifa ,active,
1479,28.477,-16.241,Spain - Tenerife2 ,active,
1480,-0.53,98.5,Indonesia - Tanabalah ,active,
1482,-23.342,-149.476,France - Tubuaï Austral Islands ,active,
1483,45.418,12.427,Italy - Venice ,active,
1484,51.727,157.989,Russia - Vodopadnaya ,active,
1489,36.9441,-25.149,Santa Maria,active,
1490,-13.961,110.004,Station 56001 - STB Indian Ocean 1,active,
1491,-15.021,117.989,Station 56003 - STP Indian Ocean 3,active,
1493,16.838,-99.903,Mexico - Acapulco Club de Yates ,active,
1494,53.557,6.749,Germany - Borkum Fischerbalje ,active,
1495,50.727,1.577,France - Boulogne-Sur-Mer ,active,
1496,3.891,-77.081,Colombia - Buenaventura ,active,
1497,35.093,129.037,Korea - Busan ,active,
1498,39.21,9.114,Italy - Cagliari ,active,
1499,18.617,-91.817,"Mexico - Ciudad del Carmen, Camp. ",active,
1500,42.967,9.35,France - Centuri ,active,
1501,20.865,-90.405,"Mexico - Celestun, Yuc. ",active,
1502,-35.36,-72.46,Chile - Constitucion ,active,
1503,37.498,15.094,Italy - Catania ,active,
1504,-47.754,-65.915,Argentina - Puerto Deseado ,active,
1505,16.303,-61.072,"France - La Desirade Island, Guadeloupe ",active,
1506,43.405,4.893,France - Fos-sur-Mer ,active,
1507,18.15,-94.27,Mexico - Frontera ,active,
1508,44.41,8.925,Italy - Genova ,active,
1509,38.784,15.193,Italy - Ginostra (Isola di Stromboli) ,active,
1510,32.471,34.863,Israel - Hadera ,active,
1511,54.176,7.891,Germany - Helgoland Binnenhafen ,active,
1512,54.758,8.297,Germany - Hörnum ,active,
1513,-16.722,-151.032,"France - Huahine island (Society Islands, French Polynesia) ",active,
